,6.00,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,9.68,9.46,9.24,9.02,8.81,8.59,,,0.83,0.03,,,,0.406510886,0.388033118,0.369555351,0.351077583,0.332599816,0.314122048,0.295644281,0.277166513,0.258688746,0.240210978,0.22173321,0.203255443,0.184777675,0.166299908,0.14782214,0.129344373,0.110866605,0.092388838,0.07391107,0.055433303,0.036955535,0.018477768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,8.84,8.62,8.39,8.16,7.93,7.70,,,0.80,0.03,,,,0.491160261,0.469805467,0.448450673,0.427095879,0.405741085,0.384386291,0.363031497,0.341676703,0.320321909,0.298967115,0.277612322,0.256257528,0.234902734,0.21354794,0.192193146,0.170838352,0.149483558,0.128128764,0.10677397,0.085419176,0.064064382,0.042709588,0.021354794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,8.04,7.80,7.56,7.32,7.08,6.84,,,0.77,0.03,,,,0.584119474,0.559781163,0.535442851,0.51110454,0.486766229,0.462427917,0.438089606,0.413751294,0.389412983,0.365074671,0.34073636,0.316398049,0.292059737,0.267721426,0.243383114,0.219044803,0.194706491,0.17036818,0.146029869,0.121691557,0.097353246,0.073014934,0.048676623,0.024338311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,7.28,7.02,6.77,6.52,6.26,6.01,,,0.73,0.04,,,,0.684234414,0.656865037,0.629495661,0.602126284,0.574756908,0.547387531,0.520018155,0.492648778,0.465279401,0.437910025,0.410540648,0.383171272,0.355801895,0.328432519,0.301063142,0.273693766,0.246324389,0.218955012,0.191585636,0.164216259,0.136846883,0.109477506,0.08210813,0.054738753,0.027369377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,6.54,6.28,6.01,5.74,5.47,5.20,,,0.69,0.04,,,,0.789581364,0.75921285,0.728844336,0.698475822,0.668107308,0.637738794,0.60737028,0.577001766,0.546633252,0.516264738,0.485896224,0.45552771,0.425159196,0.394790682,0.364422168,0.334053654,0.30368514,0.273316626,0.242948112,0.212579598,0.182211084,0.15184257,0.121474056,0.091105542,0.060737028,0.030368514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5.85,5.57,5.28,5.00,4.71,4.43,,,0.65,0.04,,,,0.898247613,0.864979183,0.831710753,0.798442323,0.765173893,0.731905463,0.698637033,0.665368602,0.632100172,0.598831742,0.565563312,0.532294882,0.499026452,0.465758022,0.432489592,0.399221161,0.365952731,0.332684301,0.299415871,0.266147441,0.232879011,0.199610581,0.166342151,0.13307372,0.09980529,0.06653686,0.03326843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,5.20,4.89,4.59,4.29,3.98,3.68,,,0.61,0.04,,,,1.007597409,0.971611787,0.935626165,0.899640544,0.863654922,0.8276693,0.791683678,0.755698057,0.719712435,0.683726813,0.647741191,0.61175557,0.575769948,0.539784326,0.503798704,0.467813083,0.431827461,0.395841839,0.359856217,0.323870596,0.287884974,0.251899352,0.21591373,0.179928109,0.143942487,0.107956865,0.071971243,0.035985622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4.59,4.26,3.94,3.61,3.29,2.96,,,0.57,0.04,,,,1.114957276,1.076510473,1.038063671,0.999616868,0.961170065,0.922723263,0.88427646,0.845829658,0.807382855,0.768936052,0.73048925,0.692042447,0.653595644,0.615148842,0.576702039,0.538255237,0.499808434,0.461361631,0.422914829,0.384468026,0.346021224,0.307574421,0.269127618,0.230680816,0.192234013,0.15378721,0.115340408,0.076893605,0.038446803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,4.02,3.67,3.32,2.97,2.62,2.27,,,0.52,0.04,,,,1.217278073,1.176702137,1.136126202,1.095550266,1.05497433,1.014398394,0.973822459,0.933246523,0.892670587,0.852094651,0.811518716,0.77094278,0.730366844,0.689790908,0.649214972,0.608639037,0.568063101,0.527487165,0.486911229,0.446335294,0.405759358,0.365183422,0.324607486,0.28403155,0.243455615,0.202879679,0.162303743,0.121727807,0.081151872,0.040575936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3.50,3.12,2.74,2.36,1.98,1.60,,,0.48,0.04,,0.076923077,,1.311742504,1.26942823,1.227113955,1.184799681,1.142485407,1.100171132,1.057856858,1.015542584,0.973228309,0.930914035,0.888599761,0.846285486,0.803971212,0.761656938,0.719342663,0.677028389,0.634714115,0.59239984,0.550085566,0.507771292,0.465457018,0.423142743,0.380828469,0.338514195,0.29619992,0.253885646,0.211571372,0.169257097,0.126942823,0.084628549,0.042314274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,3.02,2.67,2.32,1.97,1.62,1.27,,,0.43,0.04,,,,1.395106521,1.351509442,1.307912363,1.264315284,1.220718205,1.177121127,1.133524048,1.089926969,1.04632989,1.002732812,0.959135733,0.915538654,0.871941575,0.828344497,0.784747418,0.741150339,0.69755326,0.653956181,0.610359103,0.566762024,0.523164945,0.479567866,0.435970788,0.392373709,0.34877663,0.305179551,0.261582473,0.217985394,0.174388315,0.130791236,0.087194158,0.043597079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2.59,2.26,1.94,1.61,1.29,0.96,,,0.39,0.04,,,,1.464813749,1.420425453,1.376037158,1.331648862,1.287260567,1.242872272,1.198483976,1.154095681,1.109707385,1.06531909,1.020930795,0.976542499,0.932154204,0.887765908,0.843377613,0.798989317,0.754601022,0.710212727,0.665824431,0.621436136,0.57704784,0.532659545,0.48827125,0.443882954,0.399494659,0.355106363,0.310718068,0.266329772,0.221941477,0.177553182,0.133164886,0.088776591,0.044388295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
